07-09 14:58:34.929 11040 11070 D OneSignal: OneSignal SDK initialization already completed.
07-09 14:58:35.217 11040 11070 W unknown:ViewManagerPropertyUpdater: Could not find generated setter for class com.swmansion.rnscreens.q
07-09 14:58:35.218 11040 11069 I zygote  : Deoptimizing void com.facebook.react.uimanager.x0.e(java.util.Map, java.util.Map) due to JIT inline cache
07-09 14:58:36.989 11040 11120 D OneSignal: OneSignalRestClient: POST SEND JSON: {"app_id":"0"}
07-09 14:58:37.012  2122  2228 W OpenGLRenderer: Incorrectly called buildLayer on View: ShortcutAndWidgetContainer, destroying layer...
07-09 14:58:37.018 25742 25786 D EGL_emulation: eglMakeCurrent: 0xaa585840: ver 2 0 (tinfo 0xaa5838a0)
07-09 14:58:37.021  1401  1401 D gralloc_ranchu: gralloc_alloc: Creating ashmem region of size 8298496
07-09 14:58:37.105 25742 25786 D EGL_emulation: eglMakeCurrent: 0xaa585840: ver 2 0 (tinfo 0xaa5838a0)
07-09 14:58:37.106  1411  1411 E EGL_emulation: tid 1411: eglCreateSyncKHR(1962): error 0x3004 (EGL_BAD_ATTRIBUTE)
07-09 14:58:37.276 11040 11120 V OneSignal: OneSignalRestClient: After con.getResponseCode to: https://api.onesignal.com/players/0/on_session
07-09 14:58:37.276 11040 11120 D OneSignal: OneSignalRestClient: Successfully finished request to: https://api.onesignal.com/players/0/on_session
07-09 14:58:37.282 11040 11120 D OneSignal: OneSignalRestClient: POST RECEIVED JSON: {"success":true,"id":"0"}
07-09 14:58:37.285 11040 11121 D OneSignal: doCreateOrNewSession:response: {"success":true,"id":"be"}
07-09 14:58:37.286 11040 11121 I OneSignal: Device registered, UserId = 0
07-09 14:58:41.577  1600  1621 W ResourceType: ResTable_typeSpec entry count inconsistent: given 858, previously 887
07-09 14:58:41.577  1600  1621 W ResourceType: ResTable_typeSpec entry count inconsistent: given 280, previously 292
07-09 14:58:41.577  1600  1621 W ResourceType: ResTable_typeSpec entry count inconsistent: given 322, previously 2545
07-09 14:58:41.579  1600  1662 I InputReader: Reconfiguring input devices.  changes=0x00000010
07-09 14:58:41.581  1600  1600 W ResourceType: ResTable_typeSpec entry count inconsistent: given 75, previously 77
07-09 14:58:41.581  1600  1600 W ResourceType: ResTable_typeSpec entry count inconsistent: given 3070, previously 3091
07-09 14:58:41.581  1600  1600 W ResourceType: ResTable_typeSpec entry count inconsistent: given 481, previously 4044
07-09 14:58:41.586  1600  1600 W ResourceType: ResTable_typeSpec entry count inconsistent: given 14, previously 16
07-09 14:58:41.586  1600  1600 W ResourceType: ResTable_typeSpec entry count inconsistent: given 1404, previously 1413
07-09 14:58:41.586  1600  1600 W ResourceType: ResTable_typeSpec entry count inconsistent: given 1170, previously 2841
07-09 14:58:41.586  1600  1600 W ResourceType: ResTable_typeSpec entry count inconsistent: given 315, previously 2116
07-09 14:58:41.588  1600  1600 W ResourceType: ResTable_typeSpec entry count inconsistent: given 94, previously 98
07-09 14:58:41.588  1600  1600 W ResourceType: ResTable_typeSpec entry count inconsistent: given 1445, previously 3058
07-09 14:58:41.588  1600  1600 W ResourceType: ResTable_typeSpec entry count inconsistent: given 3066, previously 3058
07-09 14:58:41.588  1600  1600 W ResourceType: ResTable_typeSpec entry count inconsistent: given 2097, previously 5884
07-09 14:58:41.588  1600  1600 W ResourceType: ResTable_typeSpec entry count inconsistent: given 462, previously 3156
07-09 14:58:41.589  1600  1600 W ResourceType: For resource 0x7f15101c, entry index(4124) is beyond type entryCount(2097)
07-09 14:58:41.589  1600  1600 W ResourceType: For resource 0x7f0809ba, entry index(2490) is beyond type entryCount(1445)
07-09 14:58:41.589  1600  1600 W ResourceType: For resource 0x7f1508b7, entry index(2231) is beyond type entryCount(2097)
07-09 14:58:41.589  1600  1600 W ResourceType: For resource 0x7f0809ba, entry index(2490) is beyond type entryCount(1445)
07-09 14:58:41.589  1600  1600 W ResourceType: For resource 0x7f150b2c, entry index(2860) is beyond type entryCount(2097)
07-09 14:58:41.589  1600  1600 W ResourceType: For resource 0x7f0809ba, entry index(2490) is beyond type entryCount(1445)
07-09 14:58:41.591  1600  1600 W ResourceType: ResTable_typeSpec entry count inconsistent: given 17, previously 26
07-09 14:58:41.591  1600  1600 W ResourceType: ResTable_typeSpec entry count inconsistent: given 757, previously 1763
